"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.660234792E0,1.076138578E-3,-3.222457599E-4,-1.256562304E-3
3.670247792E0,6.447061896E-4,-5.779091734E-4,-2.568117343E-4
3.680261792E0,-3.467874601E-3,5.347353872E-4,-1.734346151E-4
3.690275792E0,9.092967957E-4,8.939958643E-4,-2.890391275E-3
3.700289792E0,-4.229284823E-4,1.652558101E-3,3.975084983E-3
3.710302792E0,-2.346795984E-3,-1.263070852E-3,6.527919322E-4
3.720316792E0,2.449836582E-3,-2.996623516E-5,-1.149551477E-3
3.730330792E0,9.717820212E-4,-1.064604381E-3,9.958911687E-4
3.740343792E0,1.493906602E-4,9.428334888E-4,-1.030514017E-3
3.750357792E0,1.779777929E-3,-2.152292058E-3,3.495360725E-4
3.760371792E0,1.278570853E-3,-2.534582745E-4,-1.135873608E-4
3.770384792E0,-6.716689095E-4,1.596825430E-3,-1.110640354E-3
3.780398792E0,-1.770074479E-3,-5.844542757E-4,-2.187464386E-3
